2025-12-08T14:00:10.414Z, d48c49fa8cc0, 4.00v - 77%, 0.7739177
2025-12-09T06:49:49.654Z, d48c49fa8cc0, 3.99v - 77%, 0.7700344
2025-12-09T07:01:13.419Z, d48c49fa8cc0, 4.01v - 79%, 0.7933345
2025-12-09T11:58:42.411Z, d48c49fa8cc0, 3.99v - 77%, 0.7700344
2025-12-09T12:01:19.298Z, d48c49fa8cc0, 3.99v - 77%, 0.7719762
2025-12-09T14:00:16.763Z, d48c49fa8cc0, 4.01v - 79%, 0.7933345
2025-12-10T06:49:57.915Z, d48c49fa8cc0, 4.01v - 78%, 0.7836261
2025-12-10T07:01:14.593Z, d48c49fa8cc0, 4.01v - 79%, 0.7855679
2025-12-10T11:58:33.344Z, d48c49fa8cc0, 3.99v - 77%, 0.7700344
2025-12-10T12:01:19.109Z, d48c49fa8cc0, 3.97v - 75%, 0.7486761
2025-12-10T14:00:22.872Z, d48c49fa8cc0, 4.01v - 79%, 0.7933345
2025-12-11T06:51:26.708Z, d48c49fa8cc0, 3.98v - 75%, 0.7545012
2025-12-11T07:01:15.398Z, d48c49fa8cc0, 3.99v - 77%, 0.766151
2025-12-11T11:59:51.078Z, d48c49fa8cc0, 3.97v - 74%, 0.7409095
2025-12-11T12:01:20.401Z, d48c49fa8cc0, 3.97v - 75%, 0.7486761
2025-12-11T14:00:09.663Z, d48c49fa8cc0, 3.99v - 77%, 0.766151
2025-12-12T06:49:41.333Z, d48c49fa8cc0, 3.98v - 75%, 0.7545012
2025-12-12T06:50:02.822Z, d48c49fa8cc0, 4.00v - 78%, 0.7758595
2025-12-12T07:01:13.770Z, d48c49fa8cc0, 3.97v - 74%, 0.7409095
2025-12-12T11:58:44.940Z, d48c49fa8cc0, 3.99v - 77%, 0.7700344
2025-12-12T12:01:19.678Z, d48c49fa8cc0, 3.99v - 76%, 0.7642093
2025-12-12T14:00:17.123Z, d48c49fa8cc0, 3.98v - 76%, 0.7583845
2025-12-15T06:11:16.817Z, d48c49fa8cc0, 4.00v - 77%, 0.7739177
2025-12-15T07:01:37.502Z, d48c49fa8cc0, 3.99v - 76%, 0.7622678
2025-12-15T11:58:30.351Z, d48c49fa8cc0, 3.99v - 77%, 0.7719762
2025-12-15T12:01:19.223Z, d48c49fa8cc0, 3.96v - 73%, 0.7312011
2025-12-15T14:00:12.567Z, d48c49fa8cc0, 4.00v - 78%, 0.7797425
2025-12-16T06:48:48.402Z, d48c49fa8cc0, 3.99v - 77%, 0.7700344
2025-12-16T07:01:13.863Z, d48c49fa8cc0, 3.98v - 75%, 0.7525594
2025-12-16T11:59:09.446Z, d48c49fa8cc0, 3.98v - 75%, 0.7545012
2025-12-16T12:01:22.139Z, d48c49fa8cc0, 3.99v - 77%, 0.7680926
2025-12-16T14:00:06.801Z, d48c49fa8cc0, 4.01v - 79%, 0.7875092
2025-12-17T06:49:27.970Z, d48c49fa8cc0, 4.00v - 78%, 0.7778013
2025-12-17T07:01:21.365Z, d48c49fa8cc0, 3.99v - 77%, 0.7680926
2025-12-17T11:59:03.816Z, d48c49fa8cc0, 3.99v - 77%, 0.7700344
2025-12-17T12:01:19.873Z, d48c49fa8cc0, 4.00v - 78%, 0.7797425
2025-12-17T14:00:13.599Z, d48c49fa8cc0, 3.99v - 77%, 0.7719762
2025-12-18T06:50:39.358Z, d48c49fa8cc0, 3.98v - 76%, 0.760326
2025-12-18T07:01:13.979Z, d48c49fa8cc0, 3.98v - 76%, 0.760326
2025-12-18T11:58:31.636Z, d48c49fa8cc0, 3.99v - 77%, 0.7719762
2025-12-18T12:01:19.214Z, d48c49fa8cc0, 3.98v - 75%, 0.7525594
2025-12-18T14:00:11.417Z, d48c49fa8cc0, 3.99v - 76%, 0.7642093
2025-12-19T06:50:29.180Z, d48c49fa8cc0, 4.00v - 78%, 0.7797425
2025-12-19T07:01:14.263Z, d48c49fa8cc0, 3.99v - 77%, 0.7700344
2025-12-19T11:59:17.607Z, d48c49fa8cc0, 4.00v - 78%, 0.7778013
2025-12-19T12:01:19.830Z, d48c49fa8cc0, 4.00v - 78%, 0.7778013
2025-12-19T14:00:10.342Z, d48c49fa8cc0, 4.00v - 78%, 0.7778013
2025-12-22T06:15:52.614Z, d48c49fa8cc0, 3.99v - 76%, 0.7622678
2025-12-22T07:01:33.402Z, d48c49fa8cc0, 3.98v - 76%, 0.7583845
2025-12-22T11:58:37.017Z, d48c49fa8cc0, 3.99v - 76%, 0.7622678
2025-12-22T12:01:19.893Z, d48c49fa8cc0, 4.00v - 78%, 0.7758595
2025-12-22T14:00:19.142Z, d48c49fa8cc0, 3.95v - 73%, 0.7273177
2025-12-23T06:48:55.867Z, d48c49fa8cc0, 3.95v - 73%, 0.7273177
2025-12-23T07:01:19.121Z, d48c49fa8cc0, 4.00v - 78%, 0.7778013
2025-12-23T11:58:08.522Z, d48c49fa8cc0, 4.00v - 78%, 0.7778013
2025-12-23T12:01:19.151Z, d48c49fa8cc0, 4.00v - 78%, 0.7758595
2025-12-23T14:00:16.011Z, d48c49fa8cc0, 3.99v - 77%, 0.7680926
2025-12-24T06:49:13.771Z, d48c49fa8cc0, 3.97v - 75%, 0.7486761
2025-12-24T07:01:19.588Z, d48c49fa8cc0, 4.00v - 77%, 0.7739177
2025-12-24T11:58:21.690Z, d48c49fa8cc0, 3.98v - 76%, 0.760326
2025-12-24T12:01:19.619Z, d48c49fa8cc0, 4.01v - 79%, 0.7855679
2025-12-24T14:00:15.291Z, d48c49fa8cc0, 3.99v - 76%, 0.7642093
2025-12-25T06:50:31.900Z, d48c49fa8cc0, 3.98v - 75%, 0.7506179
2025-12-25T07:01:14.956Z, d48c49fa8cc0, 3.99v - 77%, 0.7680926
2025-12-25T11:59:07.853Z, d48c49fa8cc0, 4.00v - 78%, 0.7758595
2025-12-25T12:01:20.114Z, d48c49fa8cc0, 3.98v - 75%, 0.7525594
2025-12-25T14:00:16.223Z, d48c49fa8cc0, 3.97v - 75%, 0.7486761
2025-12-26T06:49:12.991Z, d48c49fa8cc0, 3.98v - 75%, 0.7545012
2025-12-26T07:01:14.826Z, d48c49fa8cc0, 3.99v - 77%, 0.766151
2025-12-26T11:59:29.767Z, d48c49fa8cc0, 3.99v - 77%, 0.7719762
2025-12-26T12:01:20.169Z, d48c49fa8cc0, 3.99v - 76%, 0.7642093
2025-12-26T14:00:00.787Z, d48c49fa8cc0, 3.99v - 77%, 0.766151
2025-12-29T06:24:39.578Z, d48c49fa8cc0, 3.98v - 75%, 0.7506179
2025-12-29T07:01:41.196Z, d48c49fa8cc0, 3.97v - 74%, 0.7447927
2025-12-29T11:59:00.075Z, d48c49fa8cc0, 3.98v - 75%, 0.7506179
2025-12-29T12:01:20.206Z, d48c49fa8cc0, 3.98v - 76%, 0.7564426
2025-12-29T14:00:10.450Z, d48c49fa8cc0, 3.98v - 75%, 0.7525594
2025-12-30T06:50:17.740Z, d48c49fa8cc0, 3.96v - 73%, 0.7331428
2025-12-30T07:01:20.655Z, d48c49fa8cc0, 3.98v - 76%, 0.7564426
2025-12-30T11:59:29.725Z, d48c49fa8cc0, 4.02v - 80%, 0.7972176
2025-12-30T12:01:26.310Z, d48c49fa8cc0, 3.98v - 76%, 0.7564426
2025-12-30T13:59:56.091Z, d48c49fa8cc0, 3.97v - 75%, 0.7467345
2025-12-30T14:01:20.870Z, d48c49fa8cc0, 3.95v - 72%, 0.7234344
2025-12-31T06:50:09.848Z, d48c49fa8cc0, 3.97v - 74%, 0.7447927
2025-12-31T07:01:15.330Z, d48c49fa8cc0, 3.97v - 74%, 0.7428512
2025-12-31T11:58:33.697Z, d48c49fa8cc0, 3.99v - 76%, 0.7642093
2025-12-31T12:01:25.671Z, d48c49fa8cc0, 3.97v - 75%, 0.7467345
2025-12-31T14:00:08.812Z, d48c49fa8cc0, 3.97v - 75%, 0.7486761
2026-01-01T06:49:54.550Z, d48c49fa8cc0, 3.96v - 74%, 0.7350843
2026-01-01T07:01:20.703Z, d48c49fa8cc0, 3.98v - 76%, 0.7564426
2026-01-01T11:58:13.717Z, d48c49fa8cc0, 3.98v - 76%, 0.7564426
2026-01-01T12:01:25.532Z, d48c49fa8cc0, 3.98v - 75%, 0.7525594
2026-01-01T14:00:06.587Z, d48c49fa8cc0, 3.97v - 75%, 0.7486761
2026-01-02T06:50:42.187Z, d48c49fa8cc0, 3.95v - 72%, 0.7214929
2026-01-02T07:01:20.465Z, d48c49fa8cc0, 3.97v - 75%, 0.7486761
2026-01-02T11:58:09.068Z, d48c49fa8cc0, 3.97v - 75%, 0.7486761
2026-01-02T12:01:26.119Z, d48c49fa8cc0, 3.97v - 75%, 0.7467345
2026-01-02T14:00:12.590Z, d48c49fa8cc0, 3.97v - 75%, 0.7467345
2026-01-05T06:22:53.213Z, d48c49fa8cc0, 3.99v - 76%, 0.7642093
2026-01-05T07:01:45.453Z, d48c49fa8cc0, 3.97v - 75%, 0.7467345
2026-01-05T11:58:16.512Z, d48c49fa8cc0, 3.96v - 73%, 0.7331428
2026-01-05T12:01:19.561Z, d48c49fa8cc0, 3.95v - 73%, 0.7253762
2026-01-05T14:00:04.891Z, d48c49fa8cc0, 3.95v - 73%, 0.7253762
2026-01-06T06:50:03.276Z, d48c49fa8cc0, 3.95v - 72%, 0.7234344
2026-01-06T07:01:14.506Z, d48c49fa8cc0, 3.96v - 73%, 0.7331428
2026-01-06T11:58:59.580Z, d48c49fa8cc0, 3.96v - 74%, 0.7350843
2026-01-06T12:01:26.079Z, d48c49fa8cc0, 3.96v - 73%, 0.7292595
2026-01-06T14:00:03.652Z, d48c49fa8cc0, 3.98v - 75%, 0.7525594
2026-01-07T06:47:56.431Z, d48c49fa8cc0, 3.97v - 74%, 0.7409095
2026-01-07T07:01:20.149Z, d48c49fa8cc0, 3.96v - 73%, 0.7292595
